provincia,1988.0,1989.0,1990.0,1991.0,1993.0,1994.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,All
Buenos Aires,0.0,0.0007662835249042146,0.0,0.0022988505747126436,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0038314176245210726,0.0015325670498084292,0.0015325670498084292,0.0007662835249042146,0.0,0.0030651340996168583,0.0022988505747126436,0.0030651340996168583,0.006130268199233717,0.006896551724137931,0.016091954022988506,0.15019157088122606,0.12567049808429118,0.037547892720306515,0.178544061302682,0.14329501915708812,0.6850574712643678
Catamarca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0007662835249042146
Chaco,0.0,0.0,0.0030651340996168583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053639846743295016,0.006130268199233717,0.0022988505747126436,0.0022988505747126436,0.0022988505747126436,0.0007662835249042146,0.022222222222222223
Chubut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0,0.0022988505747126436,0.004597701149425287,0.006896551724137931,0.0015325670498084292,0.0015325670498084292,0.0053639846743295016,0.026053639846743294
Ciudad de Buenos Aires,0.0007662835249042146,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0007662835249042146,0.0007662835249042146,0.0007662835249042146,0.0,0.0007662835249042146,0.0015325670498084292,0.0,0.0015325670498084292,0.0,0.0007662835249042146,0.0007662835249042146,0.0,0.0007662835249042146,0.0038314176245210726,0.0007662835249042146,0.0015325670498084292,0.007662835249042145,0.017624521072796936,0.01839080459770115,0.007662835249042145,0.00842911877394636,0.009195402298850575,0.08582375478927202
Corrientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0007662835249042146,0.0007662835249042146,0.0,0.0030651340996168583
CÃ³rdoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0022988505747126436,0.0030651340996168583,0.0038314176245210726,0.0030651340996168583,0.00996168582375479,0.00842911877394636,0.007662835249042145,0.03984674329501916
Entre Rios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.006130268199233717,0.0,0.0,0.0,0.006896551724137931
Formosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0022988505747126436,0.0007662835249042146,0.0007662835249042146,0.0007662835249042146,0.007662835249042145
Jujuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0007662835249042146,0.0,0.0007662835249042146,0.0007662835249042146,0.0007662835249042146,0.0007662835249042146,0.0,0.0,0.0053639846743295016
La Pampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0038314176245210726,0.0,0.0,0.0030651340996168583,0.0,0.007662835249042145
La Rioja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0022988505747126436,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.004597701149425287
Mendoza,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030651340996168583,0.0030651340996168583,0.0015325670498084292,0.0015325670498084292,0.0015325670498084292,0.012260536398467433
Misiones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0015325670498084292,0.0030651340996168583,0.0,0.0,0.0007662835249042146,0.00842911877394636
Neuquen,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.006896551724137931,0.0030651340996168583,0.0015325670498084292,0.0007662835249042146,0.0,0.0,0.014559386973180077
Rio Negro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.004597701149425287,0.0053639846743295016,0.0,0.0053639846743295016,0.0022988505747126436,0.019157088122605363
Salta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0015325670498084292,0.0007662835249042146,0.0,0.007662835249042145,0.0007662835249042146,0.012260536398467433
San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0,0.0022988505747126436
San Luis,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0022988505747126436
Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0007662835249042146,0.0,0.0030651340996168583
Santa Fe,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006130268199233717,0.0015325670498084292,0.0015325670498084292,0.0,0.0038314176245210726,0.014559386973180077
Santiago del Estero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0007662835249042146,0.0,0.0030651340996168583,0.0015325670498084292,0.007662835249042145
Tierra del Fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0007662835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292
Tucuman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0,0.0015325670498084292,0.0022988505747126436,0.0015325670498084292,0.006896551724137931
All,0.0007662835249042146,0.0007662835249042146,0.0038314176245210726,0.0038314176245210726,0.0015325670498084292,0.0022988505747126436,0.0007662835249042146,0.0007662835249042146,0.0015325670498084292,0.0007662835249042146,0.0022988505747126436,0.0022988505747126436,0.0053639846743295016,0.006896551724137931,0.0015325670498084292,0.0022988505747126436,0.0022988505747126436,0.0038314176245210726,0.0038314176245210726,0.007662835249042145,0.016091954022988506,0.012260536398467433,0.04674329501915709,0.21455938697318008,0.18160919540229886,0.06666666666666667,0.22758620689655173,0.1793103448275862,1.0
