,company_name_id,year_founded,zip_code,full_time_employees,company_category,description,description_short,job_name,job_id
0,accuweather,1962.0,16803.0,350.5,Environment & Weather,"Provides local forecasts for everywhere in the United States and over two million locations worldwide. also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.",Provides local forecasts for everywhere in the United States and over two million locations worldwide.,Data Scientist,0
1,accuweather,1962.0,16803.0,350.5,Environment & Weather,"Provides local forecasts for everywhere in the United States and over two million locations worldwide. also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.",Provides local forecasts for everywhere in the United States and over two million locations worldwide.,Python Software Engineer,1
2,accuweather,1962.0,16803.0,350.5,Environment & Weather,"Provides local forecasts for everywhere in the United States and over two million locations worldwide. also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.",Provides local forecasts for everywhere in the United States and over two million locations worldwide.,Java Developer,2
3,accuweather,1962.0,16803.0,350.5,Environment & Weather,"Provides local forecasts for everywhere in the United States and over two million locations worldwide. also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.",Provides local forecasts for everywhere in the United States and over two million locations worldwide.,Cloud Engineer,3
4, ,1962.0,16803.0,350.5,Environment & Weather,"Provides local forecasts for everywhere in the United States and over two million locations worldwide. also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world.",Provides local forecasts for everywhere in the United States and over two million locations worldwide.,Data Scientist,4
5,allianz,1896.0,10019.0,10001.0,Finance & Investment,"The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Data Scientist,5
6,allianz,1896.0,10019.0,10001.0,Finance & Investment,"The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Python Software Engineer,6
7,allianz,1896.0,10019.0,10001.0,Finance & Investment,"The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Java Developer,7
8,allianz,1896.0,10019.0,10001.0,Finance & Investment,"The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Cloud Engineer,8
9, ,1896.0,10019.0,10001.0,Finance & Investment,"The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","The Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Data Scientist,9
10,amazon,2007.0,98109.0,1533.68,Data/Technology,"<p>The company offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>", It provides cloud computing services through the company to a range of clients.,Python Software Engineer,10
11, ,2007.0,98109.0,1533.68,Data/Technology,"<p>The company offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>", It provides cloud computing services through the company to a range of clients.,Python Software Engineer,11
12,amazon,2007.0,98109.0,1533.68,Data/Technology,"<p>The company offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>", It provides cloud computing services through the company to a range of clients.,Java Developer,12
13,amazon,2007.0,98109.0,1533.68,Data/Technology,"<p>The company offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>", It provides cloud computing services through the company to a range of clients.,Cloud Engineer,13
14,amazon,2007.0,98109.0,1533.68,Data/Technology,"<p>The company offers a broad set of global compute, storage, database, analytics, application, and deployment services that help organizations move faster, lower IT costs, and scale applications. These services are trusted by the largest enterprises and the hottest start-ups to power a wide variety of workloads including: web and mobile applications, data processing and warehousing, storage, archive, and many others.</p>

<p>Worldwide Public Sector is helping government and education customers employ cloud services to reduce costs, drive efficiencies, and increase innovation across the globe. With AWS, you only pay for what you use, with no up-front physical infrastructure expenses or long-term commitments. Public Sector organizations of all sizes use AWS to build applications, host websites, harness big data, store information, conduct research, improve online access for citizens, and more.</p>", It provides cloud computing services through the company to a range of clients.,Data Scientist,14
15,citigroup,1812.0,10022.0,10001.0,Finance & Investment,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions. 

<p>The company's Global Consumer Banking segment provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The company's Institutional Clients Group segment provides a range of banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. </p>","The company provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Cloud Engineer,15
16,citigroup,1812.0,10022.0,10001.0,Finance & Investment,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions. 

<p>The company's Global Consumer Banking segment provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The company's Institutional Clients Group segment provides a range of banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. </p>","The company provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Python Software Engineer,16
17,citigroup,1812.0,10022.0,10001.0,Finance & Investment,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions. 

<p>The company's Global Consumer Banking segment provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The company's Institutional Clients Group segment provides a range of banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. </p>","The company provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Java Developer,17
18, ,1812.0,10022.0,10001.0,Finance & Investment,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions. 

<p>The company's Global Consumer Banking segment provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The company's Institutional Clients Group segment provides a range of banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. </p>","The company provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Cloud Engineer,18
19,citigroup,1812.0,10022.0,10001.0,Finance & Investment,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions. 

<p>The company's Global Consumer Banking segment provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The company's Institutional Clients Group segment provides a range of banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. </p>","The company provides consumers, corporations, governments and institutions with a broad range of financial services and products.",Data Scientist,19
20,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Data Scientist,20
21,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Python Software Engineer,21
22,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Java Developer,22
23,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Cloud Engineer,23
24, ,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Data Scientist,24
25,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Data Scientist,25
26,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Python Software Engineer,26
27,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Java Developer,27
28,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Cloud Engineer,28
29, ,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Data Scientist,29
30,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Cloud Engineer,30
31,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Python Software Engineer,31
32,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Java Developer,32
33, ,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Cloud Engineer,33
34,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Data Scientist,34
35,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Data Scientist,35
36,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Python Software Engineer,36
37,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Java Developer,37
38,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Cloud Engineer,38
39, ,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Data Scientist,39
40,metlife,1868.0,10166.0,10001.0,Insurance,"The company is a global provider of insurance, annuities and employee benefit programs, serving 90 million customers.","The company is a provider of insurance, annuities and employee benefit programs, serving 90 million customers.",Cloud Engineer,40
41,metlife,1868.0,10166.0,10001.0,Insurance,"The company is a global provider of insurance, annuities and employee benefit programs, serving 90 million customers.","The company is a provider of insurance, annuities and employee benefit programs, serving 90 million customers.",Python Software Engineer,41
42,metlife,1868.0,10166.0,10001.0,Insurance,"The company is a global provider of insurance, annuities and employee benefit programs, serving 90 million customers.","The company is a provider of insurance, annuities and employee benefit programs, serving 90 million customers.",Java Developer,42
43, ,1868.0,10166.0,10001.0,Insurance,"The company is a global provider of insurance, annuities and employee benefit programs, serving 90 million customers.","The company is a provider of insurance, annuities and employee benefit programs, serving 90 million customers.",Cloud Engineer,43
44,metlife,1868.0,10166.0,10001.0,Insurance,"The company is a global provider of insurance, annuities and employee benefit programs, serving 90 million customers.","The company is a provider of insurance, annuities and employee benefit programs, serving 90 million customers.",Data Scientist,44
45,uber,2009.0,94105.0,3000.5,Transportation,"The company aims to evolve the way the world moves: by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. Operating in over 50 cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.","The company connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Java Developer,45
46,uber,2009.0,94105.0,3000.5,Transportation,"The company aims to evolve the way the world moves: by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. Operating in over 50 cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.","The company connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Python Software Engineer,46
47, ,2009.0,94105.0,3000.5,Transportation,"The company aims to evolve the way the world moves: by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. Operating in over 50 cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.","The company connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Java Developer,47
48,uber,2009.0,94105.0,3000.5,Transportation,"The company aims to evolve the way the world moves: by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. Operating in over 50 cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.","The company connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Cloud Engineer,48
49,uber,2009.0,94105.0,3000.5,Transportation,"The company aims to evolve the way the world moves: by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. Operating in over 50 cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.","The company connects riders to drivers through apps to make cities more accessible, opening up more possibilities for riders and more business for drivers.",Data Scientist,49
